"38","F.10","Samudera Hindia selatan Jawa Barat",NULL,"6","0","S. Hindia selatan Jawa Barat","1","0000-00-00 00:00:00","0","2016-10-21 11:17:36","15"
"39","F.11","Perairan selatan Banten",NULL,"6","0","Perairan selatan Banten","1","0000-00-00 00:00:00","0","2015-11-19 05:44:52","1"
"41","F.12","Samudera Hindia selatan Banten",NULL,"6","0","S. Hindia selatan Banten","1","0000-00-00 00:00:00","0","2016-10-21 11:17:39","15"
"42","G.01","Perairan selatan Kalimantan Tengah",NULL,"7","0","Perairan selatan Kalimantan Tengah","1","0000-00-00 00:00:00","0","2015-12-05 06:29:35","1"
"43","G.02","Laut Jawa bagian tengah",NULL,"7","0","Laut Jawa bag. tengah","1","0000-00-00 00:00:00","0","2016-10-21 11:17:44","15"
"44","G.03","Perairan Kep. Karimun Jawa","0","7","0","Perairan Kep. Karimun Jawa","1","0000-00-00 00:00:00","0","2015-12-05 06:29:40","1"
"45","G.04","Perairan utara Jawa Tengah","0","7","0","Perairan utara Jawa Tengah","1","0000-00-00 00:00:00","0","2015-12-05 06:29:42","1"
"46","H.01","Perairan selatan Jawa Tengah","0","8","0","Perairan selatan Jawa Tengah","1","0000-00-00 00:00:00","0","2015-12-05 06:29:43","1"
"47","H.02","Samudera Hindia selatan Jawa Tengah",NULL,"8","0","S. Hindia selatan Jawa Tengah","1","0000-00-00 00:00:00","0","2016-10-21 11:17:48","15"
"48","I.01","Laut Jawa bagian timur",NULL,"9","0","Laut Jawa bag. timur","1","0000-00-00 00:00:00","0","2016-10-21 11:17:52","15"
"49","I.02","Perairan Kepulauan Masalembu",NULL,"9","0","Perairan Kep. Masalembu","1","0000-00-00 00:00:00","0","2016-10-21 11:17:57","15"
"50","I.03","Perairan Pulau Bawean",,"9","0","Perairan Pulau Bawean","1","0000-00-00 00:00:00","0","2015-12-05 06:29:50","1"
"51","I.04","Perairan utara Jawa Timur","0","9","0","Perairan utara Jawa Timur","1","0000-00-00 00:00:00","0","2015-12-05 06:29:54","1"
"52","I.06","Selat Madura",,"9","0","Selat Madura","1","0000-00-00 00:00:00","0","2015-12-05 06:29:52","1"
"53","I.08","Perairan Selatan Jawa Timur",NULL,"9","0","Perairan Selatan Jawa Timur","1","0000-00-00 00:00:00","0","2015-12-05 06:29:56","1"
"54","I.09","Samudera Hindia selatan Jawa Timur",NULL,"9","0","S. Hindia selatan Jawa Timur","1","0000-00-00 00:00:00","0","2016-10-21 11:18:13","15"
"55","I.07","Perairan Kepulauan Kangean",NULL,"9","0","Perairan Kep. Kangean","1","0000-00-00 00:00:00","0","2016-10-21 11:14:36","15"
"56","J.01","Laut Bali",NULL,"31","0","Laut Bali","1","0000-00-00 00:00:00","0","2015-12-05 06:29:58","15"
"57","J.02","Selat Bali bagian utara",NULL,"31","0","Selat Bali bag. utara","1","0000-00-00 00:00:00","0","2016-10-21 11:14:31","15"
"58","J.03","Selat Bali bagian selatan",NULL,"31","0","Selat Bali bag. selatan","1","0000-00-00 00:00:00","0","2016-10-21 11:14:26","15"
"59","J.04","Selat Badung",NULL,"31","0","Selat Badung","1","0000-00-00 00:00:00","0","2015-12-05 06:30:04","15"
"60","J.05","Samudera Hindia selatan Bali",NULL,"31","0","S. Hindia selatan Bali","1","0000-00-00 00:00:00","0","2016-10-21 11:14:23","15"
"61","J.06","Selat Lombok bagian utara",NULL,"31","0","Selat Lombok bag. utara","1","0000-00-00 00:00:00","0","2016-10-21 11:14:23","15"
"62","J.07","Selat Lombok bagian selatan",NULL,"31","0","Selat Lombok bag. selatan","1","0000-00-00 00:00:00","0","2016-10-21 11:14:23","15"
"63","J.08","Selat Alas bagian utara",NULL,"31","0","Selat Alas bag. utara","1","0000-00-00 00:00:00","0","2016-10-21 11:14:23","15"
"64","J.09","Selat Alas bagian selatan",NULL,"31","0","Selat Alas bag. selatan","1","0000-00-00 00:00:00","0","2016-10-21 11:14:23","15"
"65","J.10","Laut Sumbawa",NULL,"31","0","Laut Sumbawa","1","0000-00-00 00:00:00","0","2015-12-03 13:11:15","15"
"66","J.11","Perairan utara Sumbawa",NULL,"31","0","Perairan utara Sumbawa","1","0000-00-00 00:00:00","0","2015-12-03 13:11:12","15"
"67","J.12","Perairan selatan Sumbawa",NULL,"31","0","Perairan selatan Sumbawa","1","0000-00-00 00:00:00","0","2015-12-03 13:11:08","15"
"68","J.13","Samudera Hindia selatan NTB",NULL,"31","0","S. Hindia selatan NTB","1","0000-00-00 00:00:00","0","2016-10-21 11:14:10","15"
